myot,myox,myoy,myoz,myost
myot,myox,myoy,myoz,myost
113465264,0.976074,-0.12207,-0.0400391,1468766052833
113487576,0.978516,-0.10791,-0.0385742,1468766052855
113510927,0.970215,-0.117188,-0.0385742,1468766052879
113525145,0.963867,-0.114746,-0.0390625,1468766052893
113547674,0.977051,-0.111328,-0.0390625,1468766052916
113564019,0.976562,-0.12793,-0.0385742,1468766052932
113585225,0.959473,-0.130859,-0.0361328,1468766052953
113607589,0.967285,-0.131348,-0.0297852,1468766052975
113622661,0.96875,-0.12793,-0.0292969,1468766052990
113645195,0.977539,-0.124023,-0.0224609,1468766053013
113667574,0.977539,-0.125488,-0.0307617,1468766053035
113683942,0.976074,-0.112793,-0.0424805,1468766053052
113705005,0.978516,-0.128906,-0.0405273,1468766053073
113727521,0.970215,-0.130859,-0.0415039,1468766053095
113742619,0.976074,-0.129395,-0.0498047,1468766053110
113773243,0.973633,-0.12793,-0.0473633,1468766053141
113787523,0.978027,-0.118164,-0.059082,1468766053155
113802519,0.981934,-0.127441,-0.0634766,1468766053170
113825114,0.973633,-0.136719,-0.0581055,1468766053193
113847773,0.972656,-0.129395,-0.0532227,1468766053216
113862734,0.975098,-0.126953,-0.0517578,1468766053231
113885253,0.973633,-0.132324,-0.0507812,1468766053253
113907532,0.975586,-0.121582,-0.0473633,1468766053275
113922769,0.974121,-0.130859,-0.0473633,1468766053291
113945180,0.96582,-0.120117,-0.0527344,1468766053313
113967751,0.969238,-0.12793,-0.0546875,1468766053336
113982757,0.978516,-0.119141,-0.0415039,1468766053351
114005216,1.00049,-0.106445,-0.0415039,1468766053373
114027610,0.980469,-0.120605,-0.0410156,1468766053395
114042561,0.978027,-0.128906,-0.0463867,1468766053410
114064991,0.976074,-0.115723,-0.0439453,1468766053433
114087552,0.965332,-0.115234,-0.0498047,1468766053455
114102507,0.977051,-0.114258,-0.0366211,1468766053470
114125025,0.955566,-0.128906,-0.0571289,1468766053493
114147608,0.973633,-0.132324,-0.0600586,1468766053515
114162784,0.967773,-0.146484,-0.0537109,1468766053531
114185108,0.962402,-0.145508,-0.0288086,1468766053553
114207736,0.976074,-0.106934,0.0112305,1468766053576
114222806,1.01855,-0.15625,0.0175781,1468766053591
114245105,0.977539,-0.183594,-0.0258789,1468766053613
114267762,0.948242,-0.181641,-0.0571289,1468766053636
114282637,0.936035,-0.170898,-0.0571289,1468766053651
114305260,0.95166,-0.15625,-0.0541992,1468766053673
114327723,0.973145,-0.147949,-0.0605469,1468766053696
114344067,0.96875,-0.159668,-0.0551758,1468766053712
114365086,0.971191,-0.154297,-0.0610352,1468766053733
114387581,0.976074,-0.143066,-0.0620117,1468766053755
