myot,myox,myoy,myoz
1455129920,myox,myoy,myoz
284846484313,-0.208984,-0.82959,0.55957
284846506949,-0.148926,-0.790527,0.554688
284846523312,-0.0654297,-0.80127,0.59668
284846544346,-0.00927734,-0.803711,0.661621
284846566805,-0.012207,-0.756348,0.717285
284846583282,-0.0693359,-0.913086,0.562988
284846604221,0.0146484,-0.884277,0.68457
284846626655,0.046875,-0.817383,0.699219
284846643178,0.0336914,-0.811523,0.73291
284846664337,-0.00732422,-0.791504,0.706543
284846686841,-0.0595703,-0.766602,0.666504
284846710803,-0.0522461,-0.770996,0.677734
284846724315,-0.0654297,-0.77832,0.681641
284846746743,-0.0786133,-0.79248,0.68457
284846763195,-0.0961914,-0.76123,0.689941
284846784244,-0.151855,-0.789062,0.650391
284846806822,-0.168457,-0.822266,0.664062
284846823294,-0.154297,-0.84082,0.703125
284846844299,-0.131348,-0.883301,0.683594
284846866836,-0.149414,-0.906738,0.666016
284846883234,-0.207031,-0.848633,0.629395
284846904268,-0.238281,-0.763672,0.60498
284846928276,-0.18457,-0.733887,0.581543
284846943311,-0.0947266,-0.788574,0.548828
284846964312,-0.0893555,-0.84375,0.535156
284846986849,-0.121094,-0.821777,0.51123
284847003207,-0.11084,-0.812988,0.536133
284847024365,-0.11084,-0.79834,0.553223
284847046783,-0.136719,-0.71875,0.515625
284847063292,-0.152344,-0.713867,0.487305
284847084265,-0.136719,-0.785645,0.495605
284847106920,-0.152344,-0.771973,0.52002
284847123317,-0.179688,-0.716309,0.529297
284847144323,-0.192871,-0.714355,0.564941
284847166914,-0.187012,-0.706055,0.57373
284847190869,-0.195312,-0.709961,0.588867
284847204354,-0.164062,-0.760254,0.601562
284847226844,-0.15332,-0.796387,0.632324
284847243278,-0.152832,-0.786133,0.647949
284847264275,-0.15332,-0.76123,0.635254
284847286909,-0.147949,-0.831543,0.657715
284847303288,-0.165039,-0.873047,0.662598
284847324338,-0.15625,-0.847168,0.647461
284847346831,-0.126953,-0.827637,0.631348
284847362679,-0.0976562,-0.83252,0.646484
284847385810,-0.0898438,-0.848145,0.637695
284847406894,-0.0976562,-0.897949,0.645996
284847422637,-0.141602,-0.894531,0.616211
284847445869,-0.165527,-0.850586,0.584961
284847466893,-0.164551,-0.838867,0.586914
284847482610,-0.162109,-0.846191,0.574219
284847505803,-0.156738,-0.885742,0.591309
284847526869,-0.155273,-0.886719,0.595703
284847542631,-0.142578,-0.857422,0.59082
284847565747,-0.11377,-0.867188,0.594727
284847595753,-0.108398,-0.832031,0.586426
284847602556,-0.0996094,-0.791016,0.594238
284847625512,-0.102539,-0.809082,0.612305
284847646784,-0.097168,-0.799805,0.625
284847662597,-0.0952148,-0.773438,0.623535
284847685827,-0.0976562,-0.751953,0.62793
284847706782,-0.100098,-0.727051,0.605469
284847722611,-0.0908203,-0.752441,0.604492
284847745812,-0.0825195,-0.782715,0.61084
284847766844,-0.0678711,-0.782715,0.614258
284847782704,-0.0478516,-0.777832,0.623047
284847805865,-0.0170898,-0.791504,0.638184
284847826893,-0.015625,-0.80127,0.649414
284847842581,-0.0214844,-0.784668,0.652344
284847871763,-0.0317383,-0.764648,0.663086
284847886823,-0.0263672,-0.765137,0.67041
284847902564,-0.0273438,-0.734375,0.685059
284847925857,-0.0322266,-0.712402,0.668945
284847946851,-0.0263672,-0.745117,0.677734
284847962647,-0.00439453,-0.776855,0.694336
284847985835,-0.000488281,-0.76123,0.692871
284848006827,-0.0151367,-0.739746,0.682617
284848022625,-0.0219727,-0.710938,0.662109
284848045742,-0.0366211,-0.731445,0.660156
284848066833,-0.0429688,-0.756348,0.664062
284848082619,-0.0522461,-0.742188,0.665527
284848105772,-0.0634766,-0.736816,0.648438
284848126803,-0.0585938,-0.733398,0.633301
284848142586,-0.0639648,-0.745605,0.635742
284848165749,-0.0756836,-0.769043,0.648926
284848186809,-0.0834961,-0.79834,0.653809
284848202572,-0.0908203,-0.801758,0.645508
284848225789,-0.0859375,-0.789551,0.635254
284848246851,-0.0766602,-0.771973,0.624512
284848262599,-0.0615234,-0.779785,0.635742
284848285108,-0.0478516,-0.774902,0.64209
284848306813,-0.0395508,-0.760742,0.642578
284848322609,-0.0268555,-0.749512,0.641602
284848345110,-0.012207,-0.726562,0.637695
284848375796,-0.00146484,-0.724121,0.646484
284848382630,0.00585938,-0.728516,0.644043
284848405169,0.00683594,-0.73877,0.648926
284848428741,0.00292969,-0.736816,0.650391
284848442595,-0.000488281,-0.747559,0.648438
284848465136,-0.00341797,-0.751465,0.647461
284848488249,0.00244141,-0.762695,0.654785
284848502573,-0.00537109,-0.776855,0.656738
284848525120,-0.0180664,-0.773438,0.65332
284848548296,-0.0263672,-0.77832,0.644043
284848562592,-0.0322266,-0.787109,0.646484
284848585095,-0.0263672,-0.780762,0.645996
284848608246,-0.0214844,-0.784668,0.648926
284848622587,-0.0253906,-0.775391,0.641113
284848645122,-0.027832,-0.766602,0.629883
284848668279,-0.0253906,-0.787109,0.63916
284848682597,-0.0239258,-0.786621,0.649414
284848705097,-0.0292969,-0.774414,0.645996
284848728253,-0.0327148,-0.771484,0.638184
284848742592,-0.0283203,-0.771484,0.645996
284848765069,-0.0258789,-0.782227,0.640625
284848788269,-0.0297852,-0.804199,0.646973
284848802623,-0.0249023,-0.799316,0.644531
284848825105,-0.0249023,-0.787109,0.633301
284848848243,-0.0253906,-0.787598,0.637207
284848869341,-0.0205078,-0.777344,0.638672
284848885073,-0.0214844,-0.785156,0.627441
284848908314,-0.0302734,-0.777344,0.621094
284848929367,-0.0283203,-0.772949,0.61377
284848945125,-0.0292969,-0.773926,0.609863
284848968298,-0.0214844,-0.77832,0.615234
284848989344,-0.0234375,-0.783203,0.61377
284849005080,-0.0234375,-0.788574,0.616211
284849028329,-0.0244141,-0.793457,0.619141
284849049383,-0.0200195,-0.791016,0.616211
284849065128,-0.0224609,-0.789062,0.617188
284849088296,-0.0161133,-0.792969,0.616211
284849109340,-0.0224609,-0.793457,0.621582
284849125126,-0.0249023,-0.788086,0.620605
284849148245,-0.027832,-0.799805,0.624512
284849169335,-0.0200195,-0.796387,0.620117
284849185157,-0.0239258,-0.799316,0.621094
284849208279,-0.0200195,-0.794922,0.620117
284849229305,-0.0195312,-0.801758,0.617676
284849245127,-0.0234375,-0.799805,0.619141
284849267599,-0.0263672,-0.801758,0.616699
284849290813,-0.0249023,-0.794922,0.610352
284849305122,-0.0244141,-0.799805,0.608887
284849327622,-0.0195312,-0.807617,0.611816
284849350774,-0.0166016,-0.791992,0.614746
284849365146,-0.0146484,-0.797363,0.612793
284849387599,-0.0175781,-0.796875,0.60791
284849410760,-0.0205078,-0.795898,0.598145
284849424334,-0.0146484,-0.79834,0.606934
284849438671,-0.0141602,-0.795898,0.60498
284849461137,-0.0131836,-0.807129,0.608887
284849484337,-0.0136719,-0.817871,0.617676
284849498692,-0.019043,-0.806152,0.606934
284849521156,-0.0141602,-0.80957,0.609375
284849544319,-0.0185547,-0.810547,0.614746
284849558697,-0.0180664,-0.797363,0.608398
284849581155,-0.0170898,-0.795898,0.613281
284849604325,-0.0205078,-0.785156,0.607422
284849618667,-0.0126953,-0.794922,0.595703
284849641201,-0.0117188,-0.807617,0.606445
284849664345,-0.0126953,-0.802246,0.598633
284849678671,-0.0205078,-0.799805,0.594238
284849701187,-0.0166016,-0.796875,0.598633
284849724349,-0.019043,-0.811035,0.598145
284849738683,-0.0205078,-0.813477,0.602051
284849761193,-0.015625,-0.809082,0.601074
284849784372,-0.0244141,-0.805664,0.611816
284849798753,-0.0258789,-0.803711,0.60791
284849821143,-0.0161133,-0.812988,0.605957
284849852542,-0.0249023,-0.811523,0.606934
284849858707,-0.0302734,-0.803711,0.602051
284849881240,-0.0170898,-0.8125,0.609863
284849904398,-0.0166016,-0.802246,0.606445
284849918732,-0.019043,-0.79834,0.60498
284849941188,-0.0175781,-0.800781,0.600586
284849964335,-0.0141602,-0.804688,0.600098
284849978729,-0.0234375,-0.806641,0.605957
284850001182,-0.0239258,-0.797363,0.603516
284850024367,-0.0239258,-0.788574,0.606445
284850038702,-0.0214844,-0.794434,0.596191
284850061222,-0.0234375,-0.806152,0.59375
284850084371,-0.0146484,-0.80957,0.601074
284850098735,-0.00927734,-0.79834,0.606445
284850121168,-0.0146484,-0.811035,0.607422
284850144398,-0.0161133,-0.791992,0.600586
284850158702,-0.0195312,-0.797363,0.599121
284850181189,-0.027832,-0.811523,0.596191
284850204377,-0.0336914,-0.803711,0.59375
284850218707,-0.0385742,-0.800781,0.59668
284850241211,-0.046875,-0.803223,0.589355
284850263669,-0.0483398,-0.808594,0.595703
284850278661,-0.0361328,-0.81543,0.601562
284850301183,-0.0375977,-0.807617,0.599609
284850323709,-0.0415039,-0.803223,0.592773
284850338733,-0.0454102,-0.802246,0.595215
284850361316,-0.0458984,-0.808594,0.606934
284850383693,-0.0429688,-0.807617,0.609375
284850406914,-0.0380859,-0.79541,0.611328
284850421246,-0.03125,-0.809082,0.620605
284850443644,-0.0297852,-0.800781,0.618164
284850458735,-0.0219727,-0.803223,0.62207
284850481186,-0.0146484,-0.803223,0.623535
284850503708,-0.0141602,-0.804688,0.621094
284850518741,-0.0219727,-0.79834,0.614258
284850541158,-0.03125,-0.797852,0.620117
284850572561,-0.0336914,-0.799316,0.609375
284850578720,-0.0380859,-0.788086,0.609863
284850601269,-0.0400391,-0.791504,0.610352
284850623743,-0.0463867,-0.788574,0.614746
284850638768,-0.0419922,-0.774902,0.600098
284850661323,-0.0390625,-0.79248,0.611816
284850683703,-0.0371094,-0.797852,0.619629
284850698748,-0.0356445,-0.788574,0.615234
284850721213,-0.0268555,-0.797852,0.614258
284850743726,-0.0229492,-0.788574,0.61377
284850761611,-0.0205078,-0.796875,0.619629
284850781203,-0.0200195,-0.800781,0.611816
284850803697,-0.0297852,-0.8125,0.618164
284850818688,-0.0307617,-0.808105,0.617188
284850849341,-0.027832,-0.803711,0.610352
284850863690,-0.019043,-0.807617,0.611816
284850878791,-0.015625,-0.805176,0.606445
284850901337,-0.0146484,-0.800293,0.600586
284850923808,-0.00927734,-0.80127,0.603516
284850938800,0.00537109,-0.808105,0.612305
284850961212,0.0107422,-0.791016,0.618652
284850983785,0.00683594,-0.783691,0.615723
284850998787,0.00195312,-0.771973,0.611816
284851021309,-0.00878906,-0.775391,0.615234
284851043762,-0.0322266,-0.766602,0.612793
284851058759,-0.0395508,-0.76709,0.616699
284851081172,-0.0595703,-0.766113,0.599121
284851103714,-0.0654297,-0.788086,0.60791
284851120166,-0.0717773,-0.814453,0.615723
284851141147,-0.0717773,-0.82666,0.60791
284851163697,-0.0703125,-0.833496,0.605957
284851180161,-0.0649414,-0.824707,0.604004
284851201344,-0.0585938,-0.84375,0.60498
284851223719,-0.0605469,-0.852539,0.59668
284851240201,-0.0600586,-0.838379,0.59082
284851261267,-0.0737305,-0.824219,0.569824
284851283802,-0.078125,-0.844727,0.560547
284851300239,-0.0751953,-0.833984,0.548828
284851321241,-0.0634766,-0.821777,0.552246
284851343836,-0.0791016,-0.856934,0.545898
284851360180,-0.0898438,-0.860352,0.544922
284851381220,-0.0976562,-0.826172,0.581055
284851403694,-0.130859,-0.81543,0.585938
284851420144,-0.166504,-0.84668,0.609863
284851441301,-0.176758,-0.851562,0.640137
284851463694,-0.239746,-0.861816,0.659668
284851480214,-0.266113,-0.817871,0.740234
284851501189,-0.265625,-0.774414,0.713867
284851523734,-0.203125,-0.695801,0.766602
284851540225,-0.141113,-0.772461,0.763672
284851561289,-0.138672,-0.741211,0.72168
284851583758,-0.120605,-0.64502,0.67334
284851600195,-0.0322266,-0.645508,0.637695
284851621250,0.0761719,-0.771484,0.660156
284851643976,0.019043,-0.843262,0.611816
284851660167,-0.012207,-0.774902,0.565918
284851684146,-0.0141602,-0.740723,0.521484
284851703739,0.0727539,-0.75,0.523438
284851720199,0.133301,-0.882812,0.573242
284851741255,0.0576172,-0.859863,0.572266
284851763775,-0.00634766,-0.724609,0.507812
284851780158,0.0185547,-0.774414,0.539551
284851801277,0.00878906,-0.793945,0.579102
284851823700,0.050293,-0.799316,0.619629
284851840223,0.0522461,-0.80127,0.641602
284851861237,0.00878906,-0.746094,0.643066
284851883709,-0.0395508,-0.763184,0.63623
284851900216,-0.0561523,-0.813965,0.626465
284851921335,-0.043457,-0.805176,0.648926
284851943823,-0.0424805,-0.788574,0.663574
284851960245,-0.0517578,-0.721191,0.712891
284851981212,-0.0898438,-0.703125,0.702148
284852003874,-0.117188,-0.779297,0.641602
284852020216,-0.0595703,-0.820801,0.666016
284852041282,-0.0688477,-0.712402,0.69043
284852063727,-0.0078125,-0.62207,0.73877
284852080153,0.0927734,-0.580566,0.82666
284852102636,0.0126953,-0.599121,0.805664
284852123746,-0.0571289,-0.661621,0.77002
284852140144,-0.09375,-0.777344,0.662598
284852162699,-0.0732422,-0.871094,0.668457
284852183769,-0.0981445,-0.845703,0.646484
284852200259,-0.0898438,-0.796875,0.65625
