timestamp,x,y,z
10042264313,71.25,-119.312,231.562
10042278689,51.3125,-123.938,231.375
10042301819,34.625,-127.125,228.125
10042324363,36.125,-132.562,221.875
10042338728,49.4375,-134.875,216.188
10042361953,47.1875,-135.75,213.812
10042384450,25.375,-135.438,208.438
10042405568,15.1875,-129,193.5
10042423854,37.3125,-114.062,171.875
10042444384,65,-99.8125,148.312
10042465625,64.4375,-91.1875,127.875
10042481892,23.375,-86.3125,108.062
10042504349,-12.4375,-82.9375,89.25
10042525592,-30.9375,-80.0625,73.1875
10042541902,-30.25,-72.125,56
10042564419,-23.875,-61.9375,40.9375
10042585390,-15.125,-50.5625,31.75
10042601883,-6.8125,-39.9375,23.1875
10042624321,-3.125,-30.6875,12.625
10042645408,2.625,-18.1875,-1.875
10042661842,3,-7.125,-18.3125
10042684400,-0.5,9.6875,-38.4375
10042705596,-6.8125,33.1875,-62
10042721862,-6.625,57.1875,-80.1875
10042744439,-9.9375,81.375,-98.25
10042765593,-6.5625,100.25,-125.25
10042781930,-2.6875,124,-158.938
10042804453,14.375,152.812,-195.688
10042825208,-5.4375,167.062,-223.25
10042841918,-50.0625,174.938,-243.625
10042864423,-96.75,177,-248.062
10042885584,-104.5,172.688,-230.25
10042901852,-89.125,169.25,-235.375
10042924350,-69.4375,163.938,-242.688
10042945413,-40.75,156.125,-232.062
10042961846,-8.0625,147.062,-214.438
10042984492,9,136.938,-198.25
10043005616,1.875,123.938,-193.438
10043021243,-9.8125,106.438,-190.25
10043044408,-15.3125,90.875,-186
10043066880,-3.4375,79.875,-181.125
10043081256,24.9375,74.0625,-176.875
10043104379,42.8125,66.875,-181.75
10043126914,46.3125,56.625,-189.438
10043141255,34.625,47.1875,-192.625
10043164352,5.75,45.375,-191.75
10043186830,-12.5625,48.375,-189.5
10043201187,-20.625,44.625,-186.812
10043224310,-32.125,33.1875,-179.125
10043252914,-41.875,33.0625,-169.625
10043261231,-26.8125,61.875,-151.375
10043284352,22.5,82.5,-137.25
10043306820,71.5,78.875,-126.688
10043321301,86.9375,75.5,-123.875
10043344371,81.875,74.125,-128.312
10043366936,78,67.625,-126.875
10043388097,60.5,58.8125,-122.5
10043404427,32.25,54.125,-122.125
10043426913,-3.875,57.625,-120
10043448087,-36.5,66.5,-118.125
10043464440,-64.9375,66.375,-112.938
10043486971,-86.9375,56.125,-102.812
10043508162,-91,41.9375,-88
10043524379,-71.375,33.875,-66.25
10043546858,-41.1875,22.875,-45.25
10043575424,2,6.3125,-27.4375
10043584361,17.875,-8.5,-9.0625
10043606830,16.75,-18.75,10.75
10043628157,17.25,-26.3125,30.9375
10043644495,20.5,-33.75,47.75
10043666915,19.5,-40.625,58.3125
10043687934,13.5,-41.0625,66.9375
10043704497,4.5625,-38.75,76.875
10043726950,-4.8125,-38.25,87.4375
10043748088,-9.9375,-43.1875,94.5
10043763716,-11.375,-48.5625,100.688
10043786928,-15.4375,-47.8125,109.375
10043808183,-16.375,-53.1875,119.812
10043824393,-15.6875,-63,130.438
10043854424,-9.25,-70.5625,133.062
10043868049,-3.1875,-70.5625,137.375
10043884430,-2.375,-73.5625,146.062
10043906941,0.0625,-83.375,160.625
10043928132,-5.4375,-94.75,171.062
10043951952,-12.0625,-105.375,176.5
10043966920,-7.6875,-115.125,187.188
10043989435,7.75,-113.75,194.5
10044003699,23.3125,-105.188,195.75
10044026870,32.6875,-97.5,195.938
10044049405,30.6875,-91.5625,199.25
10044063714,20.25,-85.25,201.938
10044087361,18.6875,-81.25,204.25
10044109381,14.375,-79.4375,201.125
10044123741,4.5,-81.8125,194.625
10044146921,1.1875,-90.8125,193.688
10044169372,10.6875,-95.1875,192.5
10044183813,29.5625,-89.0625,191.188
10044206938,27.9375,-82.125,186.312
10044229481,9.5625,-80.5,180.125
10044243736,-8.4375,-84.9375,181.438
10044266948,-13.25,-88.6875,178.125
10044289485,-17.5625,-95.0625,172.25
10044310611,-17.0625,-104.062,163.5
10044326955,-10.9375,-109.812,156.688
10044349424,-9.3125,-113.562,152.875
10044370654,-0.6875,-119.312,151.438
10044386930,4.4375,-123.062,146.125
10044409856,9.125,-121.062,136.875
10044430489,21.6875,-115.438,126.938
10044446877,38.75,-111.188,123.375
10044469359,42,-110,117.062
10044490511,34.875,-106.25,108.75
10044506895,28.875,-96.8125,96.3125
10044529394,30,-88.375,86.1875
10044550519,29.5625,-77.9375,77.4375
10044566905,20.125,-68.625,69
10044589508,8.5,-63.9375,56.9375
10044610622,3.125,-61.4375,48.9375
10044626897,6.4375,-57.4375,42.25
10044649427,2.3125,-51.3125,36.375
10044670711,-4.4375,-47.3125,29.3125
10044687500,-0.9375,-39.125,19.625
10044709443,12.875,-29.125,10.25
10044730526,14.625,-15.9375,2.875
10044746900,1.6875,-3.9375,-6.1875
10044769355,-7,5.9375,-16.6875
10044790445,-6.5,17.4375,-28.8125
10044806922,2,30.9375,-42.0625
10044829349,9.8125,42.0625,-54.5
10044850605,7.9375,49.9375,-67.75
10044874415,-0.1875,55.625,-78.5
10044889382,-11.75,61.375,-89.375
10044910548,-17.8125,76.75,-103
10044926241,-23.4375,90.125,-117.312
10044949328,-31.0625,108,-129.312
10044971907,-49,123,-135.062
10044986325,-56.4375,138.688,-140.875
10045009395,-44.8125,154.75,-146
10045032046,-21.25,167.562,-150
10045046221,17.8125,187.562,-153.312
